epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,53027.2,0.9982,1.17384,0.9421,1.07401,0,0.56754,0.62319,0.61745,0.45027,0.39718,0.43478,0.32044,0.09245,1.04667,0.82809,1.26132,1.28652,0,0.000825808,0.000825808,0.000825808
31,53395.6,0.95669,1.11454,0.8898,1.05239,0,0.65293,0.65217,0.68122,0.48773,0.4146,0.47826,0.35027,0.09497,1.02596,0.83341,1.22665,1.29637,0,0.000814503,0.000814503,0.000814503
32,53737.7,0.94659,1.19577,0.89248,1.04587,0,0.68638,0.57971,0.63574,0.40864,0.51087,0.4058,0.33981,0.08043,1.01736,0.87762,1.24443,1.29211,0,0.000802938,0.000802938,0.000802938
33,54080.7,1.00356,1.19472,0.91053,1.08387,0,0.77181,0.73531,0.79012,0.56427,0.60646,0.46908,0.44849,0.10486,1.00723,0.88175,1.0063,1.23423,0,0.000791122,0.000791122,0.000791122
34,54407.3,0.97454,1.19668,0.89743,1.06586,0,0.60085,0.69814,0.6716,0.45251,0.52189,0.37681,0.37548,0.09664,1.17142,0.98481,1.22363,1.38955,0,0.000779069,0.000779069,0.000779069
35,54718.5,0.91954,1.13847,0.81165,1.05695,0,0.62003,0.68587,0.71016,0.48708,0.43704,0.44928,0.36485,0.10156,1.00748,0.82261,1.12107,1.26774,0,0.000766789,0.000766789,0.000766789
36,55024.2,0.94128,1.15338,0.86356,1.0439,0,0.66578,0.66667,0.67043,0.44505,0.49646,0.49275,0.38506,0.10773,1.16324,0.83737,1.28756,1.4355,0,0.000754296,0.000754296,0.000754296
37,55329.6,0.94011,1.16829,0.87079,1.04321,0,0.69638,0.65217,0.68342,0.4776,0.54743,0.49275,0.42148,0.12655,0.97507,0.87217,1.22413,1.25492,0,0.000741601,0.000741601,0.000741601
38,55627.2,0.89411,1.08061,0.81148,1.04085,0,0.57307,0.66146,0.56368,0.39408,0.47059,0.54111,0.44549,0.11859,1.01863,0.83098,1.27921,1.22758,0,0.000728717,0.000728717,0.000728717
39,55956.6,0.90895,1.08638,0.83684,1.06055,0,0.59083,0.62319,0.6201,0.46901,0.47229,0.53623,0.4078,0.10308,1.00963,0.81834,1.24263,1.24854,0,0.000715656,0.000715656,0.000715656
40,56248.9,0.90622,1.13405,0.82822,1.04018,0,0.75151,0.68116,0.69783,0.51387,0.55808,0.49275,0.40605,0.11111,0.94049,0.83793,1.22157,1.25646,0,0.000702432,0.000702432,0.000702432
41,56526,0.85328,1.11494,0.77528,1.03724,0,0.67129,0.73992,0.74449,0.54339,0.46373,0.43478,0.3554,0.10131,0.9613,0.82678,1.08561,1.23891,0,0.000689058,0.000689058,0.000689058
42,56832.6,0.8791,1.07108,0.80587,1.01723,0,0.70245,0.63768,0.69571,0.47312,0.59319,0.47826,0.42586,0.11627,1.03924,0.82183,1.20874,1.34597,0,0.000675546,0.000675546,0.000675546
43,57115.7,0.90787,1.09842,0.79738,1.05095,0,0.78372,0.75362,0.7691,0.50608,0.5493,0.47826,0.43688,0.12009,1.01159,0.86721,1.08633,1.27839,0,0.00066191,0.00066191,0.00066191
44,57398.7,0.88446,1.10597,0.7638,1.02833,0,0.77776,0.69565,0.74524,0.54991,0.4922,0.42029,0.34658,0.1125,0.86277,0.83964,1.03216,1.18586,0,0.000648164,0.000648164,0.000648164
45,57673,0.85073,1.08292,0.74791,1.02223,0,0.77993,0.66667,0.75837,0.58987,0.55208,0.46377,0.42853,0.1269,0.7992,0.82824,0.98536,1.16251,0,0.000634322,0.000634322,0.000634322
46,57955.4,0.87018,1.1211,0.75539,1.02116,0,0.83566,0.73697,0.81175,0.59394,0.61533,0.53623,0.49717,0.1291,0.78994,0.82614,0.85112,1.17727,0,0.000620396,0.000620396,0.000620396
47,58265.7,0.83365,1.11717,0.7238,1.01722,0,0.80296,0.72464,0.76735,0.57851,0.52273,0.46036,0.37847,0.10188,0.78693,0.93963,0.99406,1.15,0,0.0006064,0.0006064,0.0006064
48,58619.1,0.86083,1.06809,0.73888,1.045,0,0.80902,0.67537,0.75091,0.52006,0.61151,0.50725,0.47018,0.12852,0.87911,0.85078,1.04691,1.17323,0,0.000592349,0.000592349,0.000592349
49,58863.5,0.87391,1.12626,0.76465,1.03829,0,0.64077,0.69565,0.66824,0.48272,0.41761,0.44928,0.3149,0.09753,0.87193,0.84791,1.1706,1.17463,0,0.000578256,0.000578256,0.000578256
50,59099.3,0.85156,1.15336,0.74917,1.01938,0,0.83178,0.65217,0.77559,0.58442,0.46835,0.47826,0.43227,0.12552,0.83355,0.86386,1.10068,1.16605,0,0.000564135,0.000564135,0.000564135
51,59336.1,0.83553,1.12832,0.74927,1.02271,0,0.74208,0.71014,0.75092,0.59754,0.5139,0.49275,0.39672,0.12269,0.83862,0.84772,0.99719,1.16705,0,0.00055,0.00055,0.00055
52,59577.6,0.83401,1.08392,0.73751,1.00014,0,0.82428,0.63768,0.77866,0.58539,0.57918,0.44928,0.42087,0.12392,0.89531,0.84855,0.96109,1.24322,0,0.000535865,0.000535865,0.000535865
53,59824.4,0.83817,1.10077,0.74375,1.02174,0,0.80557,0.68116,0.76969,0.60753,0.57488,0.49275,0.43924,0.12489,0.72664,0.85912,0.93922,1.09639,0,0.000521744,0.000521744,0.000521744
54,60070.4,0.80134,1.10527,0.72511,1.00203,0,0.75135,0.62319,0.66284,0.5006,0.54353,0.44928,0.36911,0.11271,0.92245,0.82947,1.12597,1.2451,0,0.000507651,0.000507651,0.000507651
55,60314.4,0.81589,1.11208,0.73464,1.02674,0,0.65987,0.66667,0.69168,0.49574,0.50024,0.49324,0.38452,0.10083,0.90656,0.81766,1.09547,1.25449,0,0.0004936,0.0004936,0.0004936
56,60556.1,0.77093,1.06647,0.67934,0.99488,0,0.69947,0.73913,0.73958,0.56454,0.46923,0.52174,0.38768,0.10926,0.77537,0.85543,1.05631,1.18799,0,0.000479604,0.000479604,0.000479604
57,60801.5,0.76875,1.12421,0.67813,0.98539,0,0.74108,0.72464,0.79104,0.61795,0.53229,0.52785,0.44407,0.12064,0.80371,0.84014,0.92595,1.1584,0,0.000465678,0.000465678,0.000465678
58,61049.1,0.75751,1.05247,0.64763,1.00445,0,0.69783,0.71014,0.70577,0.53708,0.41616,0.50725,0.34395,0.09916,0.81309,0.8062,1.00851,1.16337,0,0.000451836,0.000451836,0.000451836
59,61294.1,0.79387,1.04729,0.69045,1.00565,0,0.66979,0.73495,0.71719,0.57465,0.44132,0.50725,0.33736,0.10645,0.73918,0.81068,0.96969,1.10045,0,0.00043809,0.00043809,0.00043809
60,61537.7,0.79015,1.09032,0.69094,1.00422,0,0.87209,0.68116,0.77917,0.60011,0.50051,0.47826,0.34127,0.09684,0.77875,0.80516,0.93098,1.13667,0,0.000424454,0.000424454,0.000424454
61,61781.3,0.72186,0.99118,0.64734,0.99624,0,0.72129,0.71014,0.7622,0.60416,0.49078,0.52174,0.4015,0.11694,0.76453,0.83096,0.93317,1.10553,0,0.000410942,0.000410942,0.000410942
62,62038.5,0.73096,1.06881,0.63576,0.96644,0,0.75798,0.69565,0.77714,0.61585,0.5369,0.49275,0.45852,0.12871,0.70609,0.84298,1.00362,1.08992,0,0.000397568,0.000397568,0.000397568
